Date,Open,High,Low,Close,Adj Close,Volume
2000-04-24,3920.517090,3920.517090,3920.517090,3920.517090,3191.170166,0
2000-04-25,3863.971191,3926.800049,3769.728027,3769.728027,3068.432617,637164
2000-04-26,3895.385742,4178.115234,3738.313721,3738.313721,3042.862793,442297
2000-04-27,3738.313721,3738.313721,3738.313721,3738.313721,3042.862793,0
2000-04-28,4021.043213,4398.016113,4021.043213,4021.043213,3272.995605,481099
2000-05-01,4021.043213,4021.043213,4021.043213,4021.043213,3272.995605,0
2000-05-02,4398.016113,4523.673828,4146.700684,4146.700684,3375.275879,392144
2000-05-03,4152.983887,4335.187500,3989.628906,3989.628906,3247.424805,337109
2000-05-04,3926.800049,4021.043213,3769.728027,3769.728027,3068.432617,235493
2000-05-05,3895.385742,3958.214600,3845.122803,3845.122803,3129.801758,158088
2000-05-08,3958.214600,4083.872070,3939.365967,3939.365967,3206.512695,190075
2000-05-09,3939.365967,3939.365967,3939.365967,3939.365967,3206.512695,0
2000-05-10,3958.214600,4115.286621,3832.556885,3832.556885,3119.573486,321220
2000-05-11,3769.728027,3907.951416,3706.899414,3706.899414,3017.292725,310723
2000-05-12,3738.313721,3807.425293,3706.899414,3706.899414,3017.292725,489100
2000-05-15,3801.142578,3819.991211,3738.313721,3738.313721,3042.862793,149289
2000-05-16,3851.405518,3895.385742,3776.010986,3776.010986,3073.546875,454923
2000-05-17,3738.313721,3744.596680,3700.616455,3700.616455,3012.178955,241191
2000-05-18,3706.899414,3838.839844,3675.484863,3838.839844,3124.687500,62733
2000-05-19,3769.728027,3851.405518,3612.656006,3612.656006,2940.581787,218703
2000-05-22,3581.241699,3581.241699,3361.340820,3361.340820,2736.019775,548966
2000-05-23,3367.623779,3367.623779,3267.097656,3267.097656,2659.308350,427014
2000-05-24,3235.683350,3279.663330,3103.742920,3103.742920,2526.343262,215316
2000-05-25,3116.308594,3518.412842,3116.308594,3116.308594,2536.571533,509392
